ÜRÜN, AYLAR
Muz, Ocak Şubat Mart Nisan Mayıs Haziran Temmuz Ağustos Eylül Ekim Kasım Aralık  
Fasulye, Nisan Mayıs Haziran Temmuz  
Lahana, Temmuz Ağustos Kasım Aralık Ocak Şubat  
Patates, Mart Nisan Ağustos Eylül Haziran Temmuz Kasım  
Pirinç, Mayıs Eylül Ekim  
Kavun, Nisan Mayıs Temmuz Ağustos  
Mısır, Nisan Mayıs Ağustos Eylül  
Salata, Mart Nisan Eylül Ekim  
Buğday, Ekim Kasım Haziran Temmuz  
Çilek, Ekim Kasım Mayıs Haziran Temmuz  
Pamuk, Nisan Mayıs Eylül Ekim  
Karpuz, Nisan Mayıs Haziran Temmuz Ağustos  
Domates, Mart Nisan Mayıs Haziran Temmuz Ağustos Eylül  
Soğan, Mart Nisan Mayıs Haziran Temmuz  
Havuç, Mart Nisan Mayıs Haziran Temmuz  
