EKİN TÜRÜ,TOPRAK TİPİ,BÖLGE,SICAKLIK,HAVA DURUMU,SU İHTİYACI
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Normal,8.75
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,10.25
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,9.65
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.75
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Normal,9.85
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,11.35
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,10.75
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.85
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Normal,10.75
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,12.25
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,11.65
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,2.75
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Normal,11.75
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,13.25
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,12.65
Muz,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,3.75
Muz,Kuru,Akdeniz Bölgesi,10-20,Normal,7.98
Muz,Kuru,Akdeniz Bölgesi,10-20,Güneşli,9.4
Muz,Kuru,Akdeniz Bölgesi,10-20,Ruzgarlı,8.8
Muz,Kuru,Akdeniz Bölgesi,10-20,Yağmurlu,0.25
Muz,Kuru,Akdeniz Bölgesi,20-30,Normal,8.98
Muz,Kuru,Akdeniz Bölgesi,20-30,Güneşli,10.4
Muz,Kuru,Akdeniz Bölgesi,20-30,Ruzgarlı,9.7
Muz,Kuru,Akdeniz Bölgesi,20-30,Yağmurlu,0.98
Muz,Kuru,Akdeniz Bölgesi,30-40,Normal,9.98
Muz,Kuru,Akdeniz Bölgesi,30-40,Güneşli,11.4
Muz,Kuru,Akdeniz Bölgesi,30-40,Ruzgarlı,10.8
Muz,Kuru,Akdeniz Bölgesi,30-40,Yağmurlu,1.98
Muz,Kuru,Akdeniz Bölgesi,40-50,Normal,10.9
Muz,Kuru,Akdeniz Bölgesi,40-50,Güneşli,12.4
Muz,Kuru,Akdeniz Bölgesi,40-50,Ruzgarlı,11.8
Muz,Kuru,Akdeniz Bölgesi,40-50,Yağmurlu,2.7
Muz,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Normal,6.95
Muz,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,8.45
Muz,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,7.8
Muz,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Muz,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Normal,7.95
Muz,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,9.45
Muz,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,8.8
Muz,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.5
Muz,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Normal,8.95
Muz,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,10.45
Muz,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,9.9
Muz,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.95
Muz,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Normal,9.9
Muz,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,11.4
Muz,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,10.9
Muz,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,1.9
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Normal,5.65
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,7.15
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,6.6
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.1
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Normal,6.6
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,8.1
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,7.6
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.3
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Normal,7.68
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,8.18
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,8.6
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.8
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Normal,8.65
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,10.15
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,9.65
Muz,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.65
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal,6.695
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,8.2
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,7.7
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.6
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal,7.695
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,9.2
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,8.7
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.8
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Normal,8.7
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,10.2
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,9.6
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,0.7
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Normal,9.5
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,11.0
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,10.5
Muz,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,1.5
Muz,Nemli,Akdeniz Bölgesi,10-20,Normal,5.92
Muz,Nemli,Akdeniz Bölgesi,10-20,Güneşli,7.42
Muz,Nemli,Akdeniz Bölgesi,10-20,Ruzgarlı,6.9
Muz,Nemli,Akdeniz Bölgesi,10-20,Yağmurlu,0.1
Muz,Nemli,Akdeniz Bölgesi,20-30,Normal,6.92
Muz,Nemli,Akdeniz Bölgesi,20-30,Güneşli,8.42
Muz,Nemli,Akdeniz Bölgesi,20-30,Ruzgarlı,7.9
Muz,Nemli,Akdeniz Bölgesi,20-30,Yağmurlu,0.5
Muz,Nemli,Akdeniz Bölgesi,30-40,Normal,7.92
Muz,Nemli,Akdeniz Bölgesi,30-40,Güneşli,9.42
Muz,Nemli,Akdeniz Bölgesi,30-40,Ruzgarlı,8.9
Muz,Nemli,Akdeniz Bölgesi,30-40,Yağmurlu,0.8
Muz,Nemli,Akdeniz Bölgesi,40-50,Normal,8.92
Muz,Nemli,Akdeniz Bölgesi,40-50,Güneşli,10.42
Muz,Nemli,Akdeniz Bölgesi,40-50,Ruzgarlı,9.9
Muz,Nemli,Akdeniz Bölgesi,40-50,Yağmurlu,0.92
Muz,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Normal,4.89
Muz,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,6.39
Muz,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,5.8
Muz,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Muz,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Normal,5.6
Muz,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,7.1
Muz,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,6.6
Muz,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.2
Muz,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Normal,6.5
Muz,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,8.1
Muz,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,7.5
