Şehir,Ay,Toprak Türü,Bölge,Sıcaklık,Hava Durumu
Bursa,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Bursa,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Bursa,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Bursa,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Bursa,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Bursa,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Bursa,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Bursa,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Bursa,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Bursa,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Bursa,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Bursa,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
İstanbul,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
İstanbul,Şubat,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
İstanbul,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
İstanbul,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
İstanbul,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
İstanbul,Haziran,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
İstanbul,Temmuz,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
İstanbul,Ağustos,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
İstanbul,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
İstanbul,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
İstanbul,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
İstanbul,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Tekirdağ,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Tekirdağ,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Tekirdağ,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Tekirdağ,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Tekirdağ,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Tekirdağ,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Tekirdağ,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Tekirdağ,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Tekirdağ,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Tekirdağ,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Tekirdağ,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Tekirdağ,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Kocaeli,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Kocaeli,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Kocaeli,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Kocaeli,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Kocaeli,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Kocaeli,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Kocaeli,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Kocaeli,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Kocaeli,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Kocaeli,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Kocaeli,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Kocaeli,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Edirne,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Edirne,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Edirne,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Edirne,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Edirne,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Edirne,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Edirne,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Edirne,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Edirne,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Edirne,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Edirne,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Edirne,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Çanakkale,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Çanakkale,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Çanakkale,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Çanakkale,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Çanakkale,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Çanakkale,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Çanakkale,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Çanakkale,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Çanakkale,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Çanakkale,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Çanakkale,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Çanakkale,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Balıkesir,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Balıkesir,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Balıkesir,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Balıkesir,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Balıkesir,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Balıkesir,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Balıkesir,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Balıkesir,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Balıkesir,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Balıkesir,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Balıkesir,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Balıkesir,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Yalova,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Yalova,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Yalova,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Yalova,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Yalova,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Yalova,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Yalova,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Yalova,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Yalova,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Yalova,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Yalova,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Yalova,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
